Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100873499;"Nature Sustainability";journal;"23989629";"Nature Publishing Group";Yes;No;7,292;Q1;146;228;596;9608;11969;435;17,96;42,14;34,37;23;173;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2025";"Ecology (Q1); Food Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Renewable Energy, Sustainability and the Environment (Q1); Urban Studies (Q1)";"Agricultural and Biological Sciences; Energy; Environmental Science; Social Sciences"
2;21101041558;"Nature Food";journal;"26621355";"Springer Nature";No;No;6,088;Q1;76;177;651;5222;7513;320;9,05;29,50;40,26;5;117;United Kingdom;Western Europe;"Springer Nature";"2020-2025";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences"
3;22475;"Trends in Food Science and Technology";journal;"09242244";"Elsevier Ltd";No;No;3,247;Q1;271;447;1200;50073;25421;1127;17,76;112,02;46,56;3;226;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2025";"Biotechnology (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
4;4900152301;"Comprehensive Reviews in Food Science and Food Safety";journal;"15414337";"John Wiley and Sons Inc";No;No;2,935;Q1;186;232;554;39256;9931;542;15,68;169,21;43,49;0;107;United States;Northern America;"John Wiley and Sons Inc";"2002-2003, 2005-2025";"Food Science (Q1)";"Agricultural and Biological Sciences"
5;22597;"Food Hydrocolloids";journal;"0268005X";"Elsevier B.V.";No;No;2,837;Q1;235;1146;2642;65650;39196;2640;14,03;57,29;46,04;2;104;Netherlands;Western Europe;"Elsevier B.V.";"1986, 1993, 1995-2025";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Chemical Engineering; Chemistry"
6;21100218328;"Global Food Security";journal;"22119124";"Elsevier B.V.";No;No;2,697;Q1;93;95;247;6290;3001;244;10,82;66,21;47,73;8;86;Netherlands;Western Europe;"Elsevier B.V.";"2012-2025";"Ecology (Q1); Food Science (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1)";"Agricultural and Biological Sciences; Engineering; Environmental Science; Social Sciences"
7;21100202730;"Advances in Nutrition";journal;"21565376, 21618313";"Elsevier B.V.";No;No;2,591;Q1;145;144;470;11009;4393;434;8,86;76,45;66,42;1;72;United States;Northern America;"Elsevier B.V.";"2010-2025";"Food Science (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)";"Agricultural and Biological Sciences; Medicine; Nursing"
8;21100196101;"Annual Review of Food Science and Technology";journal;"19411413, 19411421";"Annual Reviews Inc.";No;No;2,503;Q1;104;21;72;2656;1042;71;12,73;126,48;40,00;0;8;United States;Northern America;"Annual Reviews Inc.";"2010-2024";"Food Science (Q1)";"Agricultural and Biological Sciences"
9;35048;"Food Policy";journal;"03069192";"Elsevier B.V.";No;No;2,335;Q1;145;129;392;7811;3223;391;6,92;60,55;46,57;8;91;United Kingdom;Western Europe;"Elsevier B.V.";"1975-2025";"Development (Q1); Economics and Econometrics (Q1); Food Science (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
10;21955;"Critical Reviews in Food Science and Nutrition";journal;"15497852, 10408398";"Taylor and Francis Ltd.";No;No;2,200;Q1;238;907;1364;133569;18976;1362;13,25;147,26;46,70;7;384;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981, 1983-1984, 1988-2025";"Food Science (Q1); Industrial and Manufacturing Engineering (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Engineering; Medicine"
