idx,CE_ml_per_100ml,GE_ml_per_100ml,HS_ml_per_100ml,DPPH_inhibition_pct,source
0,0.0,1.0,1.0,82.62,model_predicted
1,0.1,0.9,1.0,83.46,model_predicted
2,0.1,1.0,0.9,85.18,model_predicted
3,0.2,0.8,1.0,84.19,model_predicted
4,0.2,0.9,0.9,85.55,model_predicted
5,0.2,1.0,0.8,86.84,model_predicted
6,0.3,0.7,1.0,84.81,model_predicted
7,0.3,0.8,0.9,85.8,model_predicted
8,0.3,0.9,0.8,86.72,model_predicted
9,0.3,1.0,0.7,87.57,model_predicted
10,0.4,0.6,1.0,85.31,model_predicted
11,0.4,0.7,0.9,85.93,model_predicted
12,0.4,0.8,0.8,86.49,model_predicted
13,0.4,0.9,0.7,86.97,model_predicted
14,0.4,1.0,0.6,87.39,model_predicted
15,0.5,0.5,1.0,86.75,paper_reported
16,0.5,0.6,0.9,85.95,model_predicted
17,0.5,0.7,0.8,86.14,model_predicted
18,0.5,0.8,0.7,86.26,model_predicted
19,0.5,0.9,0.6,86.31,model_predicted
20,0.5,1.0,0.5,90.84,paper_reported
21,0.6,0.4,1.0,85.98,model_predicted
22,0.6,0.5,0.9,85.86,model_predicted
23,0.6,0.6,0.8,85.68,model_predicted
24,0.6,0.7,0.7,85.43,model_predicted
25,0.6,0.8,0.6,85.12,model_predicted
26,0.6,0.9,0.5,84.74,model_predicted
27,0.6,1.0,0.4,84.29,model_predicted
28,0.7,0.3,1.0,86.13,model_predicted
29,0.7,0.4,0.9,85.65,model_predicted
30,0.7,0.5,0.8,85.1,model_predicted
31,0.7,0.6,0.7,84.49,model_predicted
32,0.7,0.7,0.6,83.81,model_predicted
33,0.7,0.8,0.5,83.06,model_predicted
34,0.7,0.9,0.4,82.25,model_predicted
35,0.7,1.0,0.3,81.37,model_predicted
36,0.8,0.2,1.0,86.18,model_predicted
37,0.8,0.3,0.9,85.33,model_predicted
38,0.8,0.4,0.8,84.41,model_predicted
39,0.8,0.5,0.7,83.43,model_predicted
40,0.8,0.6,0.6,82.38,model_predicted
41,0.8,0.7,0.5,81.27,model_predicted
42,0.8,0.8,0.4,80.09,model_predicted
43,0.8,0.9,0.3,78.84,model_predicted
44,0.8,1.0,0.2,77.53,model_predicted
45,0.9,0.1,1.0,86.11,model_predicted
46,0.9,0.2,0.9,84.89,model_predicted
47,0.9,0.3,0.8,83.61,model_predicted
48,0.9,0.4,0.7,82.26,model_predicted
49,0.9,0.5,0.6,80.85,model_predicted
50,0.9,0.6,0.5,79.36,model_predicted
51,0.9,0.7,0.4,77.82,model_predicted
52,0.9,0.8,0.3,76.2,model_predicted
53,0.9,0.9,0.2,74.52,model_predicted
54,0.9,1.0,0.1,72.77,model_predicted
55,1.0,0.0,1.0,85.92,model_predicted
56,1.0,0.1,0.9,84.34,model_predicted
57,1.0,0.2,0.8,82.69,model_predicted
58,1.0,0.3,0.7,80.97,model_predicted
59,1.0,0.4,0.6,79.19,model_predicted
60,1.0,0.5,0.5,77.34,model_predicted
61,1.0,0.6,0.4,75.43,model_predicted
62,1.0,0.7,0.3,73.45,model_predicted
63,1.0,0.8,0.2,71.4,model_predicted
64,1.0,0.9,0.1,69.28,model_predicted
65,1.0,1.0,0.0,67.1,model_predicted
